# source: https://raw.githubusercontent.com/mattiaverga/OpenNGC/master/database_files/NGC.csv 840fe0c9ee1332e551b2e722a0e92726cd7b157914a3d2177602832aadd3aa9e
# columns: id	primary_name	aliases	kind	ra_j2000_deg	dec_j2000_deg	constellation	magnitude	size_arcmin	notes
caldwell:C1	C1	NGC188	CLUSTER_OPEN	11.8647	85.2696	Cep	8.10	17.70	
caldwell:C2	C2	NGC40,Bow-Tie Nebula	PLANETARY_NEBULA	3.25429	72.5219	Cep	11.89	0.80	
caldwell:C3	C3	NGC4236	GALAXY	184.175	69.4626	Dra	9.77	23.50x6.85	
caldwell:C4	C4	NGC7023,Iris Nebula	NEBULA	315.398	68.1696	Cep	7.20	10.00x8.00	
caldwell:C5	C5	IC342	GALAXY	56.7021	68.0964	Cam	9.68	19.77x18.79	
caldwell:C6	C6	NGC6543,Cat's Eye Nebula	PLANETARY_NEBULA	269.639	66.6332	Dra	9.01	0.90	
caldwell:C7	C7	NGC2403	GALAXY	114.214	65.6026	Cam	8.43	19.95x10.07	
caldwell:C8	C8	NGC559	CLUSTER_OPEN	22.3882	63.3014	Cas	9.50	9.00	
caldwell:C9	C9	NGC7822	OTHER	0.897292	67.1616	Cep	NaN	20.00x4.00	
caldwell:C10	C10	NGC663	CLUSTER_OPEN	26.5669	61.2182	Cas	7.10	6.00	
caldwell:C11	C11	NGC7635,Bubble Nebula	OTHER	350.19	61.2124	Cas	11.00	15.00x8.00	
caldwell:C12	C12	NGC6946,Fireworks Galaxy	GALAXY	308.718	60.1539	Cyg	9.05	11.40x10.84	
caldwell:C13	C13	NGC457,Owl Cluster	CLUSTER_OPEN	19.886	58.2907	Cas	6.40	7.80	
caldwell:C14	C14	NGC869,Double Cluster	CLUSTER_OPEN	34.744	57.1172	Per	3.70	14.40	
caldwell:C15	C15	NGC6826,Blinking Planetary	PLANETARY_NEBULA	296.2	50.525	Cyg	9.44	0.42	
caldwell:C16	C16	NGC7243	CLUSTER_OPEN	333.786	49.8975	Lac	6.40	15.00	
caldwell:C17	C17	NGC147	GALAXY	8.3005	48.5087	Cas	9.72	9.40x5.41	
caldwell:C18	C18	NGC185	GALAXY	9.74154	48.3374	Cas	9.20	12.94x10.76	
caldwell:C19	C19	IC5146,Cocoon Nebula	NEBULA	328.37	47.2669	Cyg	7.20	10.00x10.00	
caldwell:C20	C20	NGC7000,North America Nebula	OTHER	314.821	44.5288	Cyg	4.00	120.00x30.00	
caldwell:C21	C21	NGC4449	GALAXY	187.046	44.0936	CVn	9.64	4.66x2.71	
caldwell:C22	C22	NGC7662,Blue Snowball	PLANETARY_NEBULA	351.475	42.5349	And	8.30	0.28	
caldwell:C23	C23	NGC891	GALAXY	35.6392	42.3491	And	10.01	13.03x3.03	
caldwell:C24	C24	NGC1275,Perseus A	GALAXY	49.9507	41.5117	Per	12.24	2.16x1.45	
caldwell:C25	C25	NGC2419	CLUSTER_GLOBULAR	114.533	38.88	Lyn	10.05	4.50	
caldwell:C26	C26	NGC4244	GALAXY	184.374	37.8071	CVn	10.18	16.22x7.24	
caldwell:C27	C27	NGC6888,Crescent Nebula	OTHER	303.027	38.3549	Cyg	7.44	20.00x10.00	
caldwell:C28	C28	NGC752	CLUSTER_OPEN	29.3951	37.8334	And	5.70	39.00	
caldwell:C29	C29	NGC5005	GALAXY	197.734	37.0592	CVn	10.71	4.82x1.52	
caldwell:C30	C30	NGC7331	GALAXY	339.267	34.4155	Peg	9.41	9.27x3.76	
caldwell:C31	C31	IC405,Flaming Star Nebula	NEBULA	79.1228	34.3562	Aur	10.00	50.00x30.00	
caldwell:C32	C32	NGC4631,Whale Galaxy	GALAXY	190.533	32.5415	CVn	9.24	14.45x2.20	
caldwell:C33	C33	NGC6992,Eastern Veil Nebula	NEBULA	314.079	31.7428	Cyg	7.00	60.00x8.00	
caldwell:C34	C34	NGC6960,Western Veil Nebula	NEBULA	311.492	30.5951	Cyg	7.00	210.00x160.00	
