# source: https://raw.githubusercontent.com/mattiaverga/OpenNGC/master/database_files/NGC.csv 840fe0c9ee1332e551b2e722a0e92726cd7b157914a3d2177602832aadd3aa9e
# columns: id	primary_name	aliases	kind	ra_j2000_deg	dec_j2000_deg	constellation	magnitude	size_arcmin	notes
messier:M1	M1	NGC1952,Crab Nebula	NEBULA	83.6332	22.0145	Tau	8.40	8.00x4.00	
messier:M2	M2	NGC7089	CLUSTER_GLOBULAR	323.363	-0.823306	Aqr	6.25	8.40	
messier:M3	M3	NGC5272	CLUSTER_GLOBULAR	205.547	28.3754	CVn	6.39	16.20	
messier:M4	M4	NGC6121	CLUSTER_GLOBULAR	245.897	-26.5255	Sco	5.40	28.20	
messier:M5	M5	NGC5904	CLUSTER_GLOBULAR	229.641	2.08269	Se1	5.95	15.00	
messier:M6	M6	NGC6405,Butterfly Cluster	CLUSTER_OPEN	265.086	-32.2542	Sco	4.20	15.60	
messier:M7	M7	NGC6475,Ptolemy Cluster	CLUSTER_OPEN	268.463	-34.7928	Sco	3.30	22.20	
messier:M8	M8	NGC6523,Lagoon Nebula	NEBULA	270.922	-24.3802	Sgr	5.80	45.00x30.00	
messier:M9	M9	NGC6333	CLUSTER_GLOBULAR	259.799	-18.5162	Oph	8.42	6.90	
messier:M10	M10	NGC6254	CLUSTER_GLOBULAR	254.287	-4.09933	Oph	4.98	9.30	
messier:M11	M11	NGC6705,Wild Duck Cluster	CLUSTER_OPEN	282.775	-6.27003	Sct	5.80	9.00	
messier:M12	M12	NGC6218	CLUSTER_GLOBULAR	251.811	-1.94783	Oph	6.07	11.10	
messier:M13	M13	NGC6205,Great Hercules Cluster	CLUSTER_GLOBULAR	250.423	36.4613	Her	5.80	16.50	
messier:M14	M14	NGC6402	CLUSTER_GLOBULAR	264.401	-3.24592	Oph	5.73	9.9	
messier:M15	M15	NGC7078	CLUSTER_GLOBULAR	322.493	12.1668	Peg	6.30	11.10	
messier:M16	M16	NGC6611,Eagle Nebula	NEBULA	274.701	-13.8072	Se2	6.00	120.00x25.00	
messier:M17	M17	NGC6618,Omega Nebula,Swan Nebula	NEBULA	275.196	-16.1715	Sgr	7.00	12.60	
messier:M18	M18	NGC6613	CLUSTER_OPEN	274.994	-17.102	Sgr	6.90	6.00	
messier:M19	M19	NGC6273	CLUSTER_GLOBULAR	255.657	-26.2679	Oph	5.57	7.50	
messier:M20	M20	NGC6514,Trifid Nebula	NEBULA	270.675	-22.9719	Sgr	8.50	28.00x28.00	
messier:M21	M21	NGC6531	CLUSTER_OPEN	271.056	-22.4901	Sgr	5.90	6.00	
messier:M22	M22	NGC6656	CLUSTER_GLOBULAR	279.101	-23.9034	Sgr	6.17	12.60	
messier:M23	M23	NGC6494	CLUSTER_OPEN	269.27	-18.9853	Sgr	5.50	16.80	
messier:M24	M24	IC4715,Sagittarius Star Cloud	OTHER	274.234	-18.5146	Sgr	4.50	120.00x60.00	
messier:M25	M25	IC4725	CLUSTER_OPEN	277.945	-19.1149	Sgr	4.60	14.10	
messier:M26	M26	NGC6694	CLUSTER_OPEN	281.328	-9.38361	Sct	8.87	6.00	
messier:M27	M27	NGC6853,Dumbbell Nebula	PLANETARY_NEBULA	299.902	22.721	Vul	7.40	6.70	
messier:M28	M28	NGC6626	CLUSTER_GLOBULAR	276.137	-24.8698	Sgr	6.90	5.10	
messier:M29	M29	NGC6913	CLUSTER_OPEN	305.991	38.5077	Cyg	6.60	3.60	
messier:M30	M30	NGC7099	CLUSTER_GLOBULAR	325.092	-23.1791	Cap	7.10	9.00	
messier:M31	M31	NGC224,Andromeda Galaxy	GALAXY	10.6848	41.2691	And	3.44	177.83x69.66	
messier:M32	M32	NGC221	GALAXY	10.6743	40.8653	And	8.13	7.74x4.86	
messier:M33	M33	NGC598,Triangulum Galaxy	GALAXY	23.462	30.6602	Tri	5.79	62.09x36.73	
messier:M34	M34	NGC1039	CLUSTER_OPEN	40.5308	42.7461	Per	5.20	22.50	
messier:M35	M35	NGC2168	CLUSTER_OPEN	92.2711	24.3386	Gem	5.10	24.00	
messier:M36	M36	NGC1960	CLUSTER_OPEN	84.0739	34.1407	Aur	6.00	7.20	
messier:M37	M37	NGC2099	CLUSTER_OPEN	88.0765	32.553	Aur	5.60	11.40	
messier:M38	M38	NGC1912	CLUSTER_OPEN	82.177	35.8549	Aur	6.40	9.60	
messier:M39	M39	NGC7092	CLUSTER_OPEN	322.951	48.4382	Cyg	4.60	19.50	
messier:M41	M41	NGC2287	CLUSTER_OPEN	101.5	-20.7542	CMa	4.50	12.00	
messier:M42	M42	NGC1976,Orion Nebula	NEBULA	83.8187	-5.38967	Ori	4.00	90.00x60.00	
messier:M43	M43	NGC1982,de Mairan's Nebula	OTHER	83.8807	-5.26747	Ori	9.00	20.00x15.00	
messier:M44	M44	NGC2632,Beehive Cluster	CLUSTER_OPEN	130.093	19.6721	Cnc	3.10	108.60	
messier:M45	M45	NGC1432,Pleiades	OTHER	56.4566	24.3679	Tau	NaN	60.00x40.00	
messier:M46	M46	NGC2437	CLUSTER_OPEN	115.445	-14.81	Pup	6.10	21.00	
messier:M47	M47	NGC2422	CLUSTER_OPEN	114.146	-14.4826	Pup	4.40	19.80	
messier:M48	M48	NGC2548	CLUSTER_OPEN	123.43	-5.75044	Hya	5.80	28.20	
messier:M49	M49	NGC4472	GALAXY	187.445	8.00047	Vir	8.28	10.21x8.38	
messier:M50	M50	NGC2323	CLUSTER_OPEN	105.669	-8.36403	Mon	5.90	14.10	
messier:M51	M51	NGC5194,Whirlpool Galaxy	GALAXY	202.47	47.1952	CVn	8.36	13.71x11.67	
messier:M52	M52	NGC7654	CLUSTER_OPEN	351.202	61.5932	Cas	6.90	9.90	
messier:M53	M53	NGC5024	CLUSTER_GLOBULAR	198.23	18.1691	Com	7.79	9.00	
messier:M54	M54	NGC6715	CLUSTER_GLOBULAR	283.764	-30.4785	Sgr	7.70	5.10	
messier:M55	M55	NGC6809	CLUSTER_GLOBULAR	294.998	-30.9621	Sgr	6.49	12.00	
messier:M56	M56	NGC6779	CLUSTER_GLOBULAR	289.148	30.1845	Lyr	8.40	5.80	
