# source: https://raw.githubusercontent.com/cyschneck/iau-star-names/main/data/4_all_stars_data.csv b70bb9fc75951a43a9ebbb46a7f7e11fcb0b8bf05a6b40fba18c9a43c5be458e
# columns: id	primary_name	aliases	kind	ra_j2000_deg	dec_j2000_deg	constellation	magnitude	size_arcmin	notes
star-absolutno	Absolutno	Absolutno, TOI-5373, TIC 9155187, GSC 02959-00729, 2MASS J07465196+3905404, UCAC2 45499774	STAR	2281.5625000000005	39.0540461		12.13	NaN	
star-acamar	Acamar	Acamar, θ¹-Eri, Theta1 Eridani, HR 897, HD 18622, NSV 1002, HIP 13847, TYC 7563-1016-1, Gaia EDR3- 5044368071870093312	STAR	44.56250000000001	-40.1816		3.22	NaN	
star-achernar	Achernar	Achernar, α-Eri, Alpha Eridani, HR 472, HD 10144, HIP 7588, TYC 8478-1395-1	STAR	24.425	-57.1411		0.54	NaN	
star-achird	Achird	η-Cas, Eta Cassiopeiae, 24-Cas, 24 Cassiopeiae, HR 219, HD 4614, HIP 3821, TYC 3663-2669-1	STAR	12.270833333333332	57.4859		3.46	NaN	
star-acrab	Acrab	Acrab, β¹-Sco, Beta1 Scorpii, 8-Sco, 8 Scorpii, HR 5984, HD 144217, NSV 7424, HIP 78820, TYC 6208-1623-1	STAR	241.3583333333333	-19.4819		2.62	NaN	
star-acrux	Acrux	Acrux, α¹-Cru, Alpha1 Crucis, HR 4730, HD 108248, HIP 60718, TYC 8979-3464-1	STAR	186.64583333333334	-63.0556		1.28	NaN	
star-acubens	Acubens	Acubens, Sertan, Sartan, α Cnc, Alpha Cancri, Alpha Cnc, 65 Cancri, 65 Cnc, BD+12 1948, FK5 337, GC 12406, HD 76756, HIP 44066, HR 3572, SAO 98267, PPM 125972, ADS 7115 A, CCDM J08585+1151A	STAR	1351.3416666666667	11.5127649		4.2	NaN	
star-adhafera	Adhafera	Adhafera, ζ-Leo, Zeta Leonis, 36-Leo, 36 Leonis, HR 4031, HD 89025, NSV 4804, HIP 50335, TYC 1969-1261-1	STAR	154.17083333333332	23.2502		3.44	NaN	
star-adhara	Adhara	Adhara, ε-CMa, Epsilon Canis Majoris, 21-CMa, 21 Canis Majoris, HR 2618, HD 52089, HIP 33579, TYC 6535-3619-1	STAR	104.65416666666667	-28.5819		1.53	NaN	
star-adhil	Adhil	Adhil, ξ Andromedae, Xi And, ξ And, 46 Andromedae, BD+44 287, FK5 1035, HD 8207, HIP 6411, HR 390, SAO 37155, PPM 43919	STAR	8528.866666666667	45.31435962		4.9	NaN	
star-ain	Ain	Ain, ε-Tau, Epsilon Tauri, 74-Tau, 74 Tauri, HR 1409, HD 28305, HIP 20889, TYC 1273-1104-1, Gaia EDR3- 48026706558487040	STAR	67.15416666666667	19.1048		3.53	NaN	
star-ainalrami	Ainalrami	Ainalrami, ν1 Sgr, 32 Sgr, BD−22°4907, HD 174974, HIP 92761, HR 7116, SAO 187426, WDS J18542-2245	STAR	4523.895833333333	-22.44414247		4.86	NaN	
star-aiolos	Aiolos	Aiolos, CD−68 847, HD 95086, HIP 53524, TYC 9212-4675-1, GSC 09212-04675, 2MASS J10570301-6840023	STAR	1423.2375000000002	-68.40024492		7.36	NaN	
star-aladfar	Aladfar	Aladfar, Eta Lyr or η Lyr, 20 Lyr, BD+38°3490, HD 180163, HIP 94481, HR 7298, SAO 68010, WDS 19138+3909	STAR	19241.716666666667	39.08454801		4.43	NaN	
star-alasia	Alasia	Alasia, BD−11°4606, HD 168746, HIP 90004, SAO 161386, PPM 234431	STAR	482.6791666666667	-11.552165		7.95	NaN	
star-alaybasan	Alaybasan	β-Tri, Beta Trianguli, 4-Tri, 4 Trianguli, HR 622, HD 13161, HIP 10064, TYC 2317-1647-1	STAR	32.38333333333333	34.5914		3.0	NaN	
star-albaldah	Albaldah	π-Sgr, Pi Sagittarii, 41-Sgr, 41 Sagittarii, HR 7264, HD 178524, NSV 11769, HIP 94141, TYC 6295-282-1, Gaia EDR3- 4082115215112774272	STAR	287.43749999999994	-21.0125		2.9	NaN	
star-albali	Albali	Albali, ε-Aqr, Epsilon Aquarii, 2-Aqr, 2 Aquarii, HR 7950, HD 198001, HIP 102618, TYC 5760-1997-1, Gaia EDR3- 6903096911032851584	STAR	311.91666666666674	-9.2945		3.76	NaN	
star-albireo	Albireo	Albireo, β¹-Cyg, Beta1 Cygni, 6-Cyg, 6 Cygni, HR 7417, HD 183912, NSV 12105, HIP 95947, TYC 2133-2964-1	STAR	292.6791666666667	27.5734		3.07	NaN	
star-alchiba	Alchiba	Alchiba, Al Minliar al Ghurab, Al Chiba, 1 Crv, CD−24°10174, GCTP 2796.00, GJ 455.3, GJ 9389, HD 105452, HIP 59199, HR 4623, SAO 180505	STAR	10467.345833333333	-24.43443974		4.03	NaN	
star-alcor	Alcor	g Ursae Majoris, 80 Ursae Majoris, BD+55 1603, CCDM J13240+5456D, GC 18155, HD 116842, HIP 65477, HR 5062, PPM 34021, SAO 28751, WDS J13239+5456C	STAR	5842.012500000001	54.59166548		3.99	NaN	
star-alcyone	Alcyone	Alcyone, η-Tau, Eta Tauri, 25-Tau, 25 Tauri, HR 1165, HD 23630, HIP 17702, TYC 1800-2202-1, Gaia EDR3- 66714384142368256	STAR	56.87083333333333	24.0617		2.88	NaN	
star-aldebaran	Aldebaran	Aldebaran, α-Tau, Alpha Tauri, 87-Tau, 87 Tauri, HR 1457, HD 29139, HIP 21421, TYC 1266-1416-1	STAR	68.97916666666666	16.3035		0.99	NaN	
star-alderamin	Alderamin	Alderamin, α-Cep, Alpha Cephei, 5-Cep, 5 Cephei, HR 8162, HD 203280, NSV 13660, HIP 105199, TYC 4252-1870-1	STAR	319.64166666666665	62.3507		2.47	NaN	
star-aldhanab	Aldhanab	γ-Gru, Gamma Gruis, HR 8353, HD 207971, HIP 108085, TYC 7494-1748-1	STAR	328.4791666666667	-37.2153		2.98	NaN	
star-aldhibah	Aldhibah	ζ-Dra, Zeta Draconis, 22-Dra, 22 Draconis, HR 6396, HD 155763, HIP 83895, TYC 4210-1048-1	STAR	257.1958333333333	65.4252		3.18	NaN	
star-aldulfin	Aldulfin	Aldulfin, ε Del, 2 Del, BD+10°4321, FK5 768, HD 195810, HIP 101421, HR 7852, SAO 106230	STAR	5629.883333333334	11.18117412		4.03	NaN	
star-alfarasalkamil	Alfarasalkamil	O-And, Omicron Andromedae, 1-And, 1 Andromedae, HR 8762, HD 217675, HIP 113726, TYC 3224-3434-1	STAR	345.4791666666667	42.1933		3.64	NaN	
star-alfirk	Alfirk	Alfirk, β-Cep, Beta Cephei, 8-Cep, 8 Cephei, HR 8238, HD 205021, HIP 106032, TYC 4465-2643-1, Gaia EDR3- 2272185759996420992	STAR	322.16249999999997	70.3338		3.23	NaN	
star-algedi	Algedi	Algedi, α²-Cap, Alpha2 Capricorni, 6-Cap, 6 Capricorni, HR 7754, HD 192947, HIP 100064, TYC 5749-2530-1, Gaia EDR3- 6880093650314169984	STAR	304.5125	-12.3241		3.58	NaN	
star-algenib	Algenib	Algenib, γ-Peg, Gamma Pegasi, 88-Peg, 88 Pegasi, HR 39, HD 886, HIP 1067, TYC 1179-1775-1, Gaia EDR3- 2769202742740232960	STAR	3.3083333333333336	15.11		2.84	NaN	
star-algieba	Algieba	Algieba, γ¹-Leo, Gamma1 Leonis, 41-Leo, 41 Leonis, HR 4057, HD 89484, NSV 4823, HIP 50583, TYC 1423-1349-1	STAR	154.99166666666667	19.503		2.23	NaN	
star-algol	Algol	Algol, β-Per, Beta Persei, 26-Per, 26 Persei, HR 936, HD 19356, HIP 14576, TYC 2851-2168-1	STAR	47.041666666666664	40.572		2.11	NaN	
star-algorab	Algorab	Algorab, δ-Crv, Delta Corvi, 7-Crv, 7 Corvi, HR 4757, HD 108767, NSV 5656, HIP 60965, TYC 6103-2395-1, Gaia EDR3- 3520586071217872896	STAR	187.46249999999998	-16.3057		2.97	NaN	
star-alhena	Alhena	Alhena, γ-Gem, Gamma Geminorum, 24-Gem, 24 Geminorum, HR 2421, HD 47105, HIP 31681	STAR	99.42500000000001	16.2357		1.93	NaN	
