# source: https://raw.githubusercontent.com/mattiaverga/OpenNGC/master/database_files/NGC.csv 840fe0c9ee1332e551b2e722a0e92726cd7b157914a3d2177602832aadd3aa9e
# columns: id	primary_name	aliases	kind	ra_j2000_deg	dec_j2000_deg	constellation	magnitude	size_arcmin	notes
ic:IC0001	IC0001		DOUBLE_STAR	2.11271	27.7177	Peg	NaN	NaN	
ic:IC0002	IC0002		GALAXY	2.75367	-12.8229	Cet	15.46	0.98x0.32	
ic:IC0003	IC0003		GALAXY	3.02538	-0.415222	Psc	14.78	0.93x0.67	
ic:IC0004	IC0004		GALAXY	3.36225	17.4864	Peg	14.14	1.17x0.84	
ic:IC0005	IC0005		GALAXY	4.39554	-9.54336	Cet	14.57	0.99x0.66	
ic:IC0006	IC0006		GALAXY	4.72933	-3.27608	Psc	14.57	1.23x1.08	
ic:IC0007	IC0007		GALAXY	4.7215	10.5947	Psc	14.63	0.90x0.63	
ic:IC0008	IC0008		GALAXY	4.76133	-3.22208	Psc	15.16	0.82x0.34	
ic:IC0009	IC0009		GALAXY	4.93325	-14.1219	Cet	15.41	0.59x0.46	
ic:IC0010	IC0010		GALAXY	5.07225	59.3038	Cas	10.35	6.76x6.03	
ic:IC0012	IC0012		GALAXY	5.06271	-2.65311	Psc	15.08	0.96x0.32	
ic:IC0013	IC0013		GALAXY	5.08371	7.7005	Psc	14.93	1.29x0.53	
ic:IC0014	IC0014		DOUBLE_STAR	5.63037	10.4902	Psc	NaN	NaN	
ic:IC0015	IC0015		GALAXY	6.98996	-0.0612778	Cet	15.90	0.44x0.38	
ic:IC0016	IC0016		GALAXY	7.03188	-13.0939	Cet	15.15	0.58x0.32	
ic:IC0017	IC0017		GALAXY	7.12408	2.64861	Cet	14.77	0.67x0.54	
ic:IC0018	IC0018		GALAXY	7.14567	-11.5867	Cet	15.03	1.08x0.41	
ic:IC0019	IC0019		GALAXY	7.1645	-11.6408	Cet	15.15	0.79x0.67	
ic:IC0020	IC0020		GALAXY	7.16533	-13.0103	Cet	14.88	0.91x0.77	
ic:IC0021	IC0021		GALAXY	7.29346	-0.163778	Cet	15.54	0.49x0.45	
ic:IC0022	IC0022		GALAXY	7.38821	-9.08075	Cet	14.73	0.81x0.44	
ic:IC0023	IC0023		GALAXY	7.71167	-12.7203	Cet	15.05	0.85x0.77	
ic:IC0024	IC0024		DOUBLE_STAR	7.81929	30.8393	And	NaN	NaN	
ic:IC0025	IC0025		GALAXY	7.80038	-0.407361	Cet	15.29	0.86x0.44	
ic:IC0027	IC0027		GALAXY	8.276	-13.3715	Cet	15.82	0.58x0.34	
ic:IC0028	IC0028		GALAXY	8.28633	-13.4563	Cet	15.56	0.30x0.22	
ic:IC0029	IC0029		GALAXY	8.545	-2.17764	Cet	15.79	0.66x0.49	
ic:IC0030	IC0030		GALAXY	8.56133	-2.08458	Cet	15.17	0.69x0.39	
ic:IC0031	IC0031		GALAXY	8.60262	12.2682	Psc	15.62	1.16x0.23	
ic:IC0032	IC0032		GALAXY	8.75704	-2.14169	Cet	16.15	0.62x0.39	
ic:IC0033	IC0033		GALAXY	8.7715	-2.13769	Cet	15.29	0.78x0.58	
ic:IC0034	IC0034		GALAXY	8.90175	9.12425	Psc	13.77	2.81x1.05	
ic:IC0035	IC0035		GALAXY	9.41617	10.358	Psc	14.96	0.90x0.74	
ic:IC0036	IC0036		GALAXY	9.45688	-15.4413	Cet	15.54	0.31x0.30	
ic:IC0037	IC0037		GALAXY	9.64242	-15.3587	Cet	16.23	0.67x0.38	
ic:IC0038	IC0038		GALAXY	9.6615	-15.4198	Cet	15.02	0.77x0.57	
ic:IC0040	IC0040		GALAXY	9.83917	2.45622	Cet	15.04	1.05x0.43	
ic:IC0041	IC0041		GALAXY	9.91821	-14.1743	Cet	15.20	0.71x0.45	
ic:IC0042	IC0042		GALAXY	10.2743	-15.4281	Cet	15.38	0.76x0.53	
ic:IC0043	IC0043		GALAXY	10.5919	29.6416	And	13.25	1.26x1.15	
ic:IC0045	IC0045		OTHER	10.6514	29.6552	And	NaN	NaN	
ic:IC0046	IC0046		GALAXY	10.7415	27.2535	And	14.28	0.80x0.61	
ic:IC0047	IC0047		GALAXY	10.7292	-13.7407	Cet	16.09	0.41x0.24	
ic:IC0048	IC0048		GALAXY	10.8936	-8.1865	Cet	13.16	1.12x0.92	
ic:IC0049	IC0049		GALAXY	10.9839	1.85028	Cet	13.78	1.28x1.04	
ic:IC0050	IC0050		GALAXY	11.5238	-9.503	Cet	14.74	1.02x0.87	
ic:IC0051	IC0051		GALAXY	11.6009	-13.4424	Cet	13.75	1.70x1.11	
ic:IC0052	IC0052		GALAXY	12.0991	4.09186	Psc	15.31	0.95x0.41	
ic:IC0053	IC0053		GALAXY	12.6699	10.6003	Psc	15.33	0.87x0.62	
ic:IC0054	IC0054		DOUBLE_STAR	12.6952	-2.28778	Cet	NaN	NaN	
ic:IC0055	IC0055		GALAXY	12.9266	7.71853	Psc	15.01	0.55x0.28	
ic:IC0056	IC0056		GALAXY	12.8747	-12.8443	Cet	15.14	0.82x0.74	
ic:IC0057	IC0057		GALAXY	13.7021	11.8412	Psc	15.48	1.03x0.96	
