# Caldwell seed: designator is the NGC/IC primary_name used by OpenNGC.
# columns: ngc_designator	caldwell_label	extra_aliases
NGC188	C1	
NGC40	C2	Bow-Tie Nebula
NGC4236	C3	
NGC7023	C4	Iris Nebula
IC342	C5	
NGC6543	C6	Cat's Eye Nebula
NGC2403	C7	
NGC559	C8	
NGC7822	C9	
NGC663	C10	
NGC7635	C11	Bubble Nebula
NGC6946	C12	Fireworks Galaxy
NGC457	C13	Owl Cluster
NGC869	C14	Double Cluster
NGC6826	C15	Blinking Planetary
NGC7243	C16	
NGC147	C17	
NGC185	C18	
IC5146	C19	Cocoon Nebula
NGC7000	C20	North America Nebula
NGC4449	C21	
NGC7662	C22	Blue Snowball
NGC891	C23	
NGC1275	C24	Perseus A
NGC2419	C25	
NGC4244	C26	
NGC6888	C27	Crescent Nebula
NGC752	C28	
NGC5005	C29	
NGC7331	C30	
IC405	C31	Flaming Star Nebula
NGC4631	C32	Whale Galaxy
NGC6992	C33	Eastern Veil Nebula
NGC6960	C34	Western Veil Nebula
NGC4889	C35	
NGC4559	C36	
NGC6882	C37	
NGC4565	C38	Needle Galaxy
NGC2392	C39	Eskimo Nebula
NGC3626	C40	
NGC2239	C50	Rosette Nebula
IC1613	C51	
NGC4697	C52	
NGC3115	C53	Spindle Galaxy
NGC2506	C54	
NGC7009	C55	Saturn Nebula
NGC246	C56	
NGC6822	C57	Barnard's Galaxy
NGC2360	C58	
NGC3242	C59	Ghost of Jupiter
NGC4038	C60	Antennae
NGC4039	C61	Antennae
NGC247	C62	
NGC7293	C63	Helix Nebula
NGC2362	C64	
NGC253	C65	Sculptor Galaxy
NGC5694	C66	
NGC1097	C67	
NGC6729	C68	
NGC6302	C69	Bug Nebula
NGC300	C70	
NGC2477	C71	
NGC55	C72	
NGC1851	C73	
NGC3132	C74	Eight-Burst Nebula
NGC6124	C75	
NGC6231	C76	
NGC5128	C77	Centaurus A
NGC6541	C78	
NGC3201	C79	
NGC5139	C80	Omega Centauri
NGC6352	C81	
NGC6193	C82	
NGC4945	C83	
NGC5286	C84	
IC2391	C85	Omicron Velorum Cluster
NGC6397	C86	
NGC1261	C87	
NGC5823	C88	
NGC6087	C89	
NGC2867	C90	
NGC3532	C91	Wishing Well Cluster
NGC3372	C92	Eta Carinae Nebula
NGC6752	C93	
NGC4755	C94	Jewel Box
NGC6025	C95	
NGC2516	C96	
NGC3766	C97	Pearl Cluster
NGC4609	C98	
NGC5315	C100	
NGC6744	C101	
IC2602	C102	Southern Pleiades
NGC2070	C103	Tarantula Nebula
NGC362	C104	
NGC4833	C105	
NGC104	C106	47 Tucanae
NGC6101	C107	
NGC4372	C108	
NGC3195	C109	
