# Messier seed: designator is the NGC/IC/other name used by OpenNGC.
# columns: ngc_designator	messier_label	extra_aliases
NGC1952	M1	Crab Nebula
NGC7089	M2	
NGC5272	M3	
NGC6121	M4	
NGC5904	M5	
NGC6405	M6	Butterfly Cluster
NGC6475	M7	Ptolemy Cluster
NGC6523	M8	Lagoon Nebula
NGC6333	M9	
NGC6254	M10	
NGC6705	M11	Wild Duck Cluster
NGC6218	M12	
NGC6205	M13	Great Hercules Cluster
NGC6402	M14	
NGC7078	M15	
NGC6611	M16	Eagle Nebula
NGC6618	M17	Omega Nebula,Swan Nebula
NGC6613	M18	
NGC6273	M19	
NGC6514	M20	Trifid Nebula
NGC6531	M21	
NGC6656	M22	
NGC6494	M23	
IC4715	M24	Sagittarius Star Cloud
IC4725	M25	
NGC6694	M26	
NGC6853	M27	Dumbbell Nebula
NGC6626	M28	
NGC6913	M29	
NGC7099	M30	
NGC224	M31	Andromeda Galaxy
NGC221	M32	
NGC598	M33	Triangulum Galaxy
NGC1039	M34	
NGC2168	M35	
NGC1960	M36	
NGC2099	M37	
NGC1912	M38	
NGC7092	M39	
NGC2287	M41	
NGC1976	M42	Orion Nebula
NGC1982	M43	de Mairan's Nebula
NGC2632	M44	Beehive Cluster
NGC1432	M45	Pleiades
NGC2437	M46	
NGC2422	M47	
NGC2548	M48	
NGC4472	M49	
NGC2323	M50	
NGC5194	M51	Whirlpool Galaxy
NGC7654	M52	
NGC5024	M53	
NGC6715	M54	
NGC6809	M55	
NGC6779	M56	
NGC6720	M57	Ring Nebula
NGC4579	M58	
NGC4621	M59	
NGC4649	M60	
NGC4303	M61	
NGC6266	M62	
NGC5055	M63	Sunflower Galaxy
NGC4826	M64	Black Eye Galaxy
NGC3623	M65	
NGC3627	M66	
NGC2682	M67	
NGC4590	M68	
NGC6637	M69	
NGC6681	M70	
NGC6838	M71	
NGC6981	M72	
NGC6994	M73	
NGC628	M74	
NGC6864	M75	
NGC650	M76	Little Dumbbell Nebula
NGC1068	M77	
NGC2068	M78	
NGC1904	M79	
NGC6093	M80	
NGC3031	M81	Bode's Galaxy
NGC3034	M82	Cigar Galaxy
NGC5236	M83	Southern Pinwheel
NGC4374	M84	
NGC4382	M85	
NGC4406	M86	
NGC4486	M87	Virgo A
NGC4501	M88	
NGC4552	M89	
NGC4569	M90	
NGC4548	M91	
NGC6341	M92	
NGC2447	M93	
NGC4736	M94	
NGC3351	M95	
NGC3368	M96	
NGC3587	M97	Owl Nebula
NGC4192	M98	
NGC4254	M99	
NGC4321	M100	
NGC5457	M101	Pinwheel Galaxy
NGC5866	M102	
NGC581	M103	
NGC4594	M104	Sombrero Galaxy
NGC3379	M105	
NGC4258	M106	
NGC6171	M107	
NGC3556	M108	
NGC3992	M109	
NGC205	M110	
